year,month,total_trips,avg_trip_distance,fare_amount_sum,extra_sum,tip_amount_sum,payment_type_1_count,payment_type_2_count,payment_type_3_count,payment_type_4_count,payment_type_5_count,payment_type_0_count
2020,10,1681112,2.7280499812029184,21225472.349999998,1598149.8800000004,3326889.9099999983,1166611,392971,9530,6106,,105894.0
2020,11,1508972,2.7415475237446425,18184476.569999997,1392968.3200000008,2987439.590000001,1044783,350337,8847,5982,1.0,99022.0
2020,12,1461856,2.721694612875688,17853931.76,1363702.8800000006,2866708.799999998,990334,356733,9018,6357,,99414.0
2021,01,1369730,2.8925235703386787,16568400.319999995,1329335.0300000007,2627283.900000001,934475,322890,8384,5667,,98314.0
2021,02,1371687,2.803172144957269,16695935.450000007,1437408.1100000006,2615220.41,949871,309452,8679,5460,,98225.0
2021,03,1925103,2.8460975230935683,23833920.180000022,2091215.7800000005,3743645.9300000016,1345974,431893,11812,7553,,127871.0
2021,04,2171069,2.9556855678009306,27808044.43,2343231.1200000015,4478584.510000001,1551885,470538,12241,8502,,127903.0
2021,05,2506950,3.0762702526974994,32392389.02999998,2608502.4899999993,5523649.689999997,1828188,529351,12721,9553,,127137.0
2021,06,2834116,3.1390800941104717,37596461.54999999,2966921.1599999983,6569024.659999999,2078122,607907,13380,11316,,123391.0
2021,07,2821596,3.339033238635158,38485706.41999996,2928952.55,6645565.350000003,2028580,636673,14219,11617,1.0,130506.0
2021,08,2788601,3.4540163974695584,38756471.49999994,2887630.590000001,6656334.919999998,2005222,623419,13317,11208,,135435.0
2021,09,2963682,3.3558377720686625,42824869.370000005,3090767.88,7406234.079999999,2178385,618505,13015,11034,,142743.0
2021,10,3463357,3.2306135607735484,47897730.88999998,3653229.039999999,8749482.879999997,2608616,690423,15202,12777,2.0,136337.0
2021,11,3472788,3.3252744135259635,48996207.909999944,3645868.9899999993,9003901.679999998,2609118,708405,15166,12889,,127210.0
2021,12,3214235,3.4077014748454926,45906824.060000025,3394538.74,8330408.010000002,2361945,720536,16014,13501,1.0,102238.0
2022,01,2463863,3.121484571179484,31897997.870000005,2480464.3300000005,5877941.41,1874874,495171,11709,10673,1.0,71435.0
